bank_id,card_no,unique_id,transaction_id,amount,merchant_name,merchant_id,merchant_category,merchant_location,timestamp,Tag(high/low income),Tag (frequent/infrequent buyer),,,
16,**************,10016,10078,481,Jabong,2,Ecommerce,Sion,1454857197,,,,2/7/2016,
18,**************,10018,10079,1339,LEVIS,4,Fashion,Marine lines,1455397114,,,,2/13/2016,
24,**************,10024,10080,1852,YATRA,5,Travel,Ghatkopar,1454626810,,,,2/4/2016,
3,**************,10003,10081,1483,KFC,12,Restaurant,Sakinaka,1455324021,,,,2/13/2016,
24,**************,10024,10082,1515,Subway,2,Restaurant,Dadar,1455224785,,,,2/11/2016,
10,**************,10010,10083,730,Shopclues,15,Ecommerce,Santa cruz,1456815064,,,,3/1/2016,
5,**************,10005,10084,188,Red Chilli,2,Restaurant,Dadar,1454329011,,,,2/1/2016,
9,**************,10009,10085,1957,Travel Triangle,8,Travel,Andheri,1457176588,,,,3/5/2016,
40,**************,10040,10086,781,FLIPKART,9,Ecommerce,Bhandup,1457121279,,,,3/4/2016,
20,**************,10020,10087,1247,Red Chilli,7,Restaurant,Sakinaka,1455561838,,,,2/15/2016,
41,**************,10041,10088,1035,Jabong,13,Ecommerce,Kalyan,1456875435,,,,3/1/2016,
9,**************,10009,10089,311,Subway,5,Restaurant,Panvel,1454996345,,,,2/9/2016,
40,**************,10040,10090,608,Travel Triangle,9,Travel,Colaba,1454438839,,,,2/2/2016,
29,**************,10029,10091,1562,YATRA,3,Travel,Andheri,1455387383,,,,2/13/2016,
4,**************,10004,10092,323,Travel Triangle,15,Travel,Sion,1455560784,,,,2/15/2016,
46,**************,10046,10093,1081,McDonalds,3,Restaurant,Santa cruz,1455627138,,,,2/16/2016,
20,**************,10020,10094,951,McDonalds,9,Restaurant,Dombivali,1454745868,,,,2/6/2016,
33,**************,10033,10095,1465,FLIPKART,1,Ecommerce,Mulund,1454729389,,,,2/6/2016,
18,**************,10018,10096,1923,LEVIS,3,Fashion,Santa cruz,1454420881,,,,2/2/2016,
37,**************,10037,10097,1343,Red Chilli,3,Restaurant,Matunga,1456582443,,,,2/27/2016,
30,**************,10030,10098,1625,MAKEMYTRIP,6,Travel,Kalyan,1455623383,,,,2/16/2016,
23,**************,10023,10099,1824,Adoro,11,Fashion,Kalyan,1457157016,,,,3/5/2016,
3,**************,10003,10100,1586,Snapdeal,11,Ecommerce,Dombivali,1454352883,,,,2/1/2016,
33,**************,10033,10101,285,Jabong,9,Ecommerce,Marine lines,1454882266,,,,2/7/2016,
0,**************,10000,10102,995,LEVIS,15,Fashion,Panvel,1455455320,,,,2/14/2016,
21,**************,10021,10103,509,McDonalds,5,Restaurant,Dombivali,1454324061,,,,2/1/2016,
41,**************,10041,10104,1696,Jabong,7,Ecommerce,Santa cruz,1454432898,,,,2/2/2016,
2,**************,10002,10105,185,Travel Triangle,4,Travel,Matunga,1457288480,,,,3/6/2016,
31,**************,10031,10106,905,Snapdeal,4,Ecommerce,Kanjurmarg,1456415282,,,,2/25/2016,
44,**************,10044,10107,711,LEVIS,4,Fashion,Kalyan,1455802142,,,,2/18/2016,
16,**************,10016,10108,919,Dominos,7,Restaurant,Mulund,1455982042,,,,2/20/2016,
28,**************,10028,10109,1632,Snapdeal,6,Ecommerce,Marine lines,1455405159,,,,2/13/2016,
48,**************,10048,10110,218,Adoro,13,Fashion,Dombivali,1454395379,,,,2/2/2016,
50,**************,10050,10111,449,Subway,13,Restaurant,Kanjurmarg,1454524368,,,,2/3/2016,
2,**************,10002,10112,921,McDonalds,3,Restaurant,Matunga,1455175271,,,,2/11/2016,
50,**************,10050,10113,1601,Jabong,6,Ecommerce,Powai,1456640469,,,,2/28/2016,
25,**************,10025,10114,810,Shopclues,7,Ecommerce,Mulund,1456091353,,,,2/21/2016,
35,**************,10035,10115,1203,Adoro,5,Fashion,Kalyan,1457145604,,,,3/5/2016,
45,**************,10045,10116,565,MAKEMYTRIP,10,Travel,Panvel,1454742463,,,,2/6/2016,
14,**************,10014,10117,1051,MAKEMYTRIP,13,Travel,Colaba,1456364685,,,,2/25/2016,
39,**************,10039,10118,432,KFC,15,Restaurant,Panvel,1456074950,,,,2/21/2016,
49,**************,10049,10119,1116,KFC,6,Restaurant,Dadar,1456213815,,,,2/23/2016,
25,**************,10025,10120,1302,Red Chilli,1,Restaurant,Sion,1455261143,,,,2/12/2016,
34,**************,10034,10121,180,MAKEMYTRIP,11,Travel,Dombivali,1455630636,,,,2/16/2016,
1,**************,10001,10122,576,LEVIS,3,Fashion,Powai,1457351535,,,,3/7/2016,
37,**************,10037,10123,1545,ZARA,14,Fashion,Bhandup,1455725344,,,,2/17/2016,
9,**************,10009,10124,1255,Shopclues,8,Ecommerce,Chandivali,1457357194,,,,3/7/2016,
43,**************,10043,10125,1118,LEVIS,13,Fashion,Matunga,1456832066,,,,3/1/2016,
11,**************,10011,10126,1299,Travel Triangle,11,Travel,Powai,1455399174,,,,2/13/2016,
1,**************,10001,10127,245,Adoro,10,Fashion,Mulund,1455071389,,,,2/10/2016,
25,**************,10025,10128,122,MAKEMYTRIP,15,Travel,Chandivali,1456054212,,,,2/21/2016,
27,**************,10027,10129,1587,Dominos,1,Restaurant,Dadar,1454973756,,,,2/8/2016,
35,**************,10035,10130,1869,ZARA,1,Fashion,Sion,1455020807,,,,2/9/2016,
35,**************,10035,10131,1961,Dominos,6,Restaurant,Dadar,1455158613,,,,2/11/2016,
15,**************,10015,10132,1161,FLIPKART,10,Ecommerce,Marine lines,1456691488,,,,2/28/2016,
12,**************,10012,10133,798,Snapdeal,15,Ecommerce,Powai,1456093443,,,,2/21/2016,
23,**************,10023,10134,1211,LEVIS,8,Fashion,Matunga,1454944933,,,,2/8/2016,
14,**************,10014,10135,691,KFC,15,Restaurant,Kalyan,1456728987,,,,2/29/2016,
27,**************,10027,10136,124,Dominos,1,Restaurant,Sion,1456942348,,,,3/2/2016,
42,**************,10042,10137,542,LEVIS,1,Fashion,Chandivali,1457241134,,,,3/6/2016,
48,**************,10048,10138,1812,Subway,4,Restaurant,Marine lines,1455720520,,,,2/17/2016,
8,**************,10008,10139,400,YATRA,15,Travel,Mulund,1455077474,,,,2/10/2016,
24,**************,10024,10140,1562,Subway,7,Restaurant,Mulund,1456317839,,,,2/24/2016,
17,**************,10017,10141,1190,McDonalds,13,Restaurant,Marine lines,1455182787,,,,2/11/2016,
10,**************,10010,10142,501,ZARA,11,Fashion,Sion,1456379800,,,,2/25/2016,
12,**************,10012,10143,1571,Travel Triangle,6,Travel,Dadar,1454416094,,,,2/2/2016,
49,**************,10049,10144,860,Jabong,12,Ecommerce,Colaba,1456145966,,,,2/22/2016,
44,**************,10044,10145,1385,FLIPKART,15,Ecommerce,Kalyan,1457094858,,,,3/4/2016,
36,**************,10036,10146,1886,MAKEMYTRIP,12,Travel,Chandivali,1454615771,,,,2/4/2016,
19,**************,10019,10147,997,LEVIS,8,Fashion,Chandivali,1456010246,,,,2/20/2016,
40,**************,10040,10148,1628,YATRA,6,Travel,Dombivali,1455489091,,,,2/14/2016,
12,**************,10012,10149,229,MAKEMYTRIP,1,Travel,Chandivali,1456413108,,,,2/25/2016,
13,**************,10013,10150,432,FLIPKART,6,Ecommerce,Ghatkopar,1455997919,,,,2/20/2016,
28,**************,10028,10151,153,McDonalds,9,Restaurant,Kanjurmarg,1454327710,,,,2/1/2016,
27,**************,10027,10152,707,LEVIS,11,Fashion,Panvel,1455265843,,,,2/12/2016,
20,**************,10020,10153,236,MAKEMYTRIP,3,Travel,Sakinaka,1456349034,,,,2/24/2016,
44,**************,10044,10154,733,Subway,8,Restaurant,Matunga,1454379678,,,,2/2/2016,
26,**************,10026,10155,507,KFC,3,Restaurant,Sion,1455207769,,,,2/11/2016,
9,**************,10009,10156,1326,McDonalds,10,Restaurant,Matunga,1457022842,,,,3/3/2016,
5,**************,10005,10157,1106,Dominos,4,Restaurant,Andheri,1455401094,,,,2/13/2016,
37,**************,10037,10158,1424,Shopclues,9,Ecommerce,Matunga,1456844928,,,,3/1/2016,
38,**************,10038,10159,1304,Jabong,14,Ecommerce,Bhandup,1455133086,,,,2/10/2016,
19,**************,10019,10160,1258,Jabong,14,Ecommerce,Mulund,1454361113,,,,2/1/2016,
8,**************,10008,10161,332,Dominos,8,Restaurant,Sion,1456121592,,,,2/22/2016,
9,**************,10009,10162,192,FLIPKART,15,Ecommerce,Sakinaka,1457046764,,,,3/3/2016,
41,**************,10041,10163,146,McDonalds,12,Restaurant,Kanjurmarg,1455873816,,,,2/19/2016,
4,**************,10004,10164,1506,Subway,6,Restaurant,Panvel,1454831173,,,,2/7/2016,
42,**************,10042,10165,733,Adoro,8,Fashion,wadala,1454322163,,,,2/1/2016,
32,**************,10032,10166,597,Adoro,2,Fashion,Sakinaka,1455878047,,,,2/19/2016,
16,**************,10016,10167,1425,Snapdeal,9,Ecommerce,Chandivali,1456208244,,,,2/23/2016,
40,**************,10040,10168,492,Red Chilli,7,Restaurant,Mulund,1455546291,,,,2/15/2016,
28,**************,10028,10169,1416,Adoro,14,Fashion,Sion,1455194094,,,,2/11/2016,
17,**************,10017,10170,1170,Subway,10,Restaurant,Dadar,1454543814,,,,2/3/2016,
31,**************,10031,10171,1455,Shopclues,15,Ecommerce,Marine lines,1455189230,,,,2/11/2016,
22,**************,10022,10172,222,Jabong,2,Ecommerce,Mulund,1455989624,,,,2/20/2016,
24,**************,10024,10173,1047,Subway,15,Restaurant,Dadar,1455888336,,,,2/19/2016,
48,**************,10048,10174,661,Jabong,11,Ecommerce,Kanjurmarg,1456679904,,,,2/28/2016,
23,**************,10023,10175,1677,FLIPKART,14,Ecommerce,Andheri,1457318635,,,,3/7/2016,
37,**************,10037,10176,1617,McDonalds,15,Restaurant,Dadar,1457332493,,,,3/7/2016,
29,**************,10029,10177,1506,FLIPKART,12,Ecommerce,Dombivali,1457064449,,,,3/4/2016,
26,**************,10026,10178,611,Travel Triangle,1,Travel,wadala,1456622383,,,,2/28/2016,
13,**************,10013,10179,349,Adoro,12,Fashion,Sakinaka,1456416996,,,,2/25/2016,
2,**************,10002,10180,1891,Dominos,8,Restaurant,Marine lines,1456032977,,,,2/21/2016,
2,**************,10002,10181,946,Adoro,8,Fashion,Santa cruz,1456132874,,,,2/22/2016,
8,**************,10008,10182,766,KFC,1,Restaurant,Sakinaka,1455519209,,,,2/15/2016,
10,**************,10010,10183,1262,Red Chilli,7,Restaurant,Chandivali,1455851249,,,,2/19/2016,
47,**************,10047,10184,223,Subway,8,Restaurant,Kalyan,1456179828,,,,2/22/2016,
50,**************,10050,10185,378,Jabong,7,Ecommerce,Sion,1455457493,,,,2/14/2016,
22,**************,10022,10186,1331,Dominos,7,Restaurant,Bhandup,1455667041,,,,2/16/2016,
17,**************,10017,10187,1641,FLIPKART,11,Ecommerce,Marine lines,1456781107,,,,2/29/2016,
5,**************,10005,10188,1287,Red Chilli,1,Restaurant,Marine lines,1454330802,,,,2/1/2016,
10,**************,10010,10189,1190,YATRA,6,Travel,Mulund,1454846592,,,,2/7/2016,
1,**************,10001,10190,1283,Subway,15,Restaurant,Marine lines,1455842438,,,,2/19/2016,
8,**************,10008,10191,1804,Dominos,3,Restaurant,wadala,1454543878,,,,2/3/2016,
44,**************,10044,10192,391,Jabong,9,Ecommerce,Chandivali,1457270314,,,,3/6/2016,
47,**************,10047,10193,324,Shopclues,5,Ecommerce,Chandivali,1457087110,,,,3/4/2016,
41,**************,10041,10194,1318,LEVIS,2,Fashion,Panvel,1456893214,,,,3/2/2016,
39,**************,10039,10195,737,YATRA,12,Travel,Bhandup,1454884561,,,,2/7/2016,
37,**************,10037,10196,1758,Snapdeal,3,Ecommerce,Panvel,1457145646,,,,3/5/2016,
42,**************,10042,10197,1907,Travel Triangle,13,Travel,Chandivali,1454572170,,,,2/4/2016,
48,**************,10048,10198,1716,Travel Triangle,10,Travel,Sakinaka,1454424048,,,,2/2/2016,
38,**************,10038,10199,1152,LEVIS,5,Fashion,Colaba,1456895527,,,,3/2/2016,
15,**************,10015,10200,561,McDonalds,5,Restaurant,Bhandup,1454659505,,,,2/5/2016,
29,**************,10029,10201,180,KFC,3,Restaurant,Marine lines,1455126062,,,,2/10/2016,
38,**************,10038,10202,1825,MAKEMYTRIP,14,Travel,Andheri,1456668235,,,,2/28/2016,
38,**************,10038,10203,1349,YATRA,3,Travel,Sion,1455230959,,,,2/11/2016,
37,**************,10037,10204,164,FLIPKART,1,Ecommerce,Panvel,1456305992,,,,2/24/2016,
34,**************,10034,10205,1300,FLIPKART,3,Ecommerce,Andheri,1456348364,,,,2/24/2016,
7,**************,10007,10206,1822,ZARA,15,Fashion,Dadar,1455781256,,,,2/18/2016,
41,**************,10041,10207,1008,Subway,14,Restaurant,Powai,1455596385,,,,2/16/2016,
48,**************,10048,10208,715,MAKEMYTRIP,6,Travel,Dadar,1454343535,,,,2/1/2016,
44,**************,10044,10209,1933,McDonalds,13,Restaurant,Dombivali,1456311139,,,,2/24/2016,
21,**************,10021,10210,1793,Shopclues,15,Ecommerce,Kanjurmarg,1456379300,,,,2/25/2016,
25,**************,10025,10211,1672,Snapdeal,6,Ecommerce,Andheri,1457306258,,,,3/6/2016,
39,**************,10039,10212,807,Dominos,2,Restaurant,Mulund,1454367447,,,,2/1/2016,
30,**************,10030,10213,839,KFC,7,Restaurant,Andheri,1455069465,,,,2/10/2016,
34,**************,10034,10214,1324,Jabong,15,Ecommerce,Marine lines,1456559028,,,,2/27/2016,
47,**************,10047,10215,1933,Jabong,13,Ecommerce,Colaba,1456601273,,,,2/27/2016,
21,**************,10021,10216,1181,KFC,2,Restaurant,Sion,1456265888,,,,2/23/2016,
40,**************,10040,10217,250,LEVIS,7,Fashion,Ghatkopar,1455355601,,,,2/13/2016,
6,**************,10006,10218,1795,MAKEMYTRIP,12,Travel,Chandivali,1456978148,,,,3/3/2016,
19,**************,10019,10219,1711,LEVIS,12,Fashion,Ghatkopar,1457006489,,,,3/3/2016,
4,**************,10004,10220,1297,Dominos,7,Restaurant,Marine lines,1455710623,,,,2/17/2016,
35,**************,10035,10221,1777,McDonalds,8,Restaurant,Bhandup,1456348647,,,,2/24/2016,
47,**************,10047,10222,1626,KFC,12,Restaurant,Kanjurmarg,1454969458,,,,2/8/2016,
41,**************,10041,10223,1594,YATRA,1,Travel,Colaba,1454395308,,,,2/2/2016,
29,**************,10029,10224,1822,ZARA,14,Fashion,Matunga,1455103848,,,,2/10/2016,
16,**************,10016,10225,1802,FLIPKART,5,Ecommerce,Panvel,1455030960,,,,2/9/2016,
30,**************,10030,10226,1189,MAKEMYTRIP,13,Travel,Colaba,1456186216,,,,2/23/2016,
37,**************,10037,10227,1284,Subway,15,Restaurant,Kanjurmarg,1455477297,,,,2/14/2016,
42,**************,10042,10228,257,MAKEMYTRIP,1,Travel,Dadar,1456402699,,,,2/25/2016,
41,**************,10041,10229,1130,McDonalds,2,Restaurant,Bhandup,1455354334,,,,2/13/2016,
6,**************,10006,10230,158,Jabong,13,Ecommerce,Chandivali,1455906524,,,,2/19/2016,
35,**************,10035,10231,1171,ZARA,10,Fashion,Chandivali,1454340774,,,,2/1/2016,
0,**************,10000,10232,1383,Adoro,2,Fashion,Marine lines,1456517465,,,,2/26/2016,
33,**************,10033,10233,1946,Jabong,1,Ecommerce,Ghatkopar,1454505405,,,,2/3/2016,
50,**************,10050,10234,1196,Dominos,15,Restaurant,Marine lines,1455886323,,,,2/19/2016,
24,**************,10024,10235,495,LEVIS,5,Fashion,Bhandup,1455973483,,,,2/20/2016,
7,**************,10007,10236,1195,Dominos,4,Restaurant,Bhandup,1457279405,,,,3/6/2016,
5,**************,10005,10237,1418,Travel Triangle,14,Travel,Kanjurmarg,1455817001,,,,2/18/2016,
46,**************,10046,10238,736,Snapdeal,15,Ecommerce,Colaba,1455292993,,,,2/12/2016,
23,**************,10023,10239,605,Dominos,12,Restaurant,Kanjurmarg,1456132067,,,,2/22/2016,
19,**************,10019,10240,1013,MAKEMYTRIP,14,Travel,Santa cruz,1454561576,,,,2/4/2016,
23,**************,10023,10241,810,FLIPKART,14,Ecommerce,Chandivali,1457123267,,,,3/4/2016,
0,**************,10000,10242,484,Travel Triangle,4,Travel,Mulund,1454506996,,,,2/3/2016,
34,**************,10034,10243,1682,Red Chilli,14,Restaurant,Chandivali,1454457418,,,,2/2/2016,
24,**************,10024,10244,652,Dominos,10,Restaurant,Panvel,1455459599,,,,2/14/2016,
26,**************,10026,10245,1442,Red Chilli,10,Restaurant,Colaba,1455978827,,,,2/20/2016,
11,**************,10011,10246,1091,YATRA,3,Travel,Dombivali,1454939009,,,,2/8/2016,
3,**************,10003,10247,1875,Subway,11,Restaurant,Matunga,1456201234,,,,2/23/2016,
13,**************,10013,10248,1278,KFC,1,Restaurant,Marine lines,1456733385,,,,2/29/2016,
21,**************,10021,10249,612,Travel Triangle,2,Travel,Ghatkopar,1455215599,,,,2/11/2016,
23,**************,10023,10250,679,Dominos,15,Restaurant,Mulund,1454753378,,,,2/6/2016,
6,**************,10006,10251,880,KFC,15,Restaurant,Matunga,1454765842,,,,2/6/2016,
28,**************,10028,10252,542,LEVIS,7,Fashion,Bhandup,1455489629,,,,2/14/2016,
11,**************,10011,10253,446,ZARA,5,Fashion,Marine lines,1456855710,,,,3/1/2016,
35,**************,10035,10254,913,Dominos,8,Restaurant,Powai,1456466391,,,,2/26/2016,
16,**************,10016,10255,1935,ZARA,8,Fashion,Kanjurmarg,1454628341,,,,2/4/2016,
22,**************,10022,10256,1427,Red Chilli,15,Restaurant,Dadar,1455178531,,,,2/11/2016,
45,**************,10045,10257,649,Travel Triangle,9,Travel,Panvel,1456822996,,,,3/1/2016,
16,**************,10016,10258,1763,Snapdeal,4,Ecommerce,Marine lines,1456925248,,,,3/2/2016,
43,**************,10043,10259,1049,MAKEMYTRIP,9,Travel,Panvel,1454711441,,,,2/5/2016,
9,**************,10009,10260,1427,Adoro,6,Fashion,Sakinaka,1456851513,,,,3/1/2016,
47,**************,10047,10261,1010,FLIPKART,4,Ecommerce,Dombivali,1454586822,,,,2/4/2016,
39,**************,10039,10262,115,FLIPKART,14,Ecommerce,wadala,1456662823,,,,2/28/2016,
18,**************,10018,10263,1154,FLIPKART,12,Ecommerce,Dombivali,1455915556,,,,2/19/2016,
26,**************,10026,10264,694,Shopclues,5,Ecommerce,Mulund,1456399731,,,,2/25/2016,
44,**************,10044,10265,1200,Red Chilli,1,Restaurant,Sion,1455611949,,,,2/16/2016,
2,**************,10002,10266,1926,Shopclues,13,Ecommerce,Colaba,1454479377,,,,2/3/2016,
17,**************,10017,10267,1856,Jabong,2,Ecommerce,Sakinaka,1456776589,,,,2/29/2016,
31,**************,10031,10268,483,FLIPKART,13,Ecommerce,Panvel,1454466551,,,,2/3/2016,
0,**************,10000,10269,240,Travel Triangle,3,Travel,Panvel,1455500777,,,,2/15/2016,
48,**************,10048,10270,1199,Jabong,13,Ecommerce,Bhandup,1455216202,,,,2/11/2016,
48,**************,10048,10271,320,Shopclues,3,Ecommerce,wadala,1456788446,,,,2/29/2016,
6,**************,10006,10272,1843,Travel Triangle,13,Travel,Dadar,1457337919,,,,3/7/2016,
22,**************,10022,10273,1399,Dominos,8,Restaurant,Andheri,1456043479,,,,2/21/2016,
17,**************,10017,10274,1769,LEVIS,7,Fashion,Santa cruz,1455341803,,,,2/13/2016,
18,**************,10018,10275,1110,Travel Triangle,1,Travel,Santa cruz,1454331211,,,,2/1/2016,
30,**************,10030,10276,1281,YATRA,4,Travel,Mulund,1456106024,,,,2/22/2016,
5,**************,10005,10277,1180,Travel Triangle,9,Travel,Dombivali,1455889417,,,,2/19/2016,
30,**************,10030,10278,1598,MAKEMYTRIP,14,Travel,Kalyan,1456103140,,,,2/22/2016,
49,**************,10049,10279,1618,McDonalds,8,Restaurant,Santa cruz,1454517306,,,,2/3/2016,
